episode,reward,emotion,eta,td_error,sigma_mean
381,168.85,0.980,0.00095,3.797,0.0542,0.0000,0.0000
391,189.21,0.962,0.00110,3.025,0.0510,0.0000,0.0183
401,16.55,0.309,0.00108,2.955,0.0475,0.0000,0.1143
411,35.80,0.499,0.00130,2.162,0.0433,0.0000,0.1754
421,34.46,0.300,0.00143,1.901,0.0386,0.0000,0.0000
431,15.30,0.300,0.00049,9.021,0.0335,0.0000,0.0000
441,14.11,0.300,0.00111,3.566,0.0293,0.0000,0.0000
451,22.49,0.300,0.00137,2.327,0.0249,0.0000,0.0000
461,20.09,0.300,0.00148,1.821,0.0216,0.0000,0.0000
471,34.71,0.753,0.00138,2.341,0.0184,0.0000,0.1795
481,28.50,0.455,0.00145,2.259,0.0168,0.0000,0.0893
491,18.94,0.467,0.00119,1.786,0.0158,0.0000,0.0379
1,30.77,0.495,0.00140,0.933,0.0270,0.0000,0.0946,neutral
11,14.02,0.300,0.00036,0.915,0.0317,0.0000,0.0035,neutral
21,16.80,0.300,0.00035,0.928,0.0324,0.0000,0.0000,None
31,14.00,0.300,0.00035,0.915,0.0583,0.0000,0.0000,None
41,11.20,0.300,0.00034,0.950,0.0381,0.0000,0.0000,None
51,9.33,0.300,0.00039,0.874,0.0466,0.0000,0.0000,None
61,16.80,0.300,0.00035,0.879,0.0476,0.0000,0.0000,None
71,8.96,0.300,0.00120,0.414,0.0591,0.0000,0.0000,None
81,13.81,0.300,0.00117,0.342,0.0577,0.0000,0.0000,None
91,119.62,0.980,0.00111,0.393,0.0557,0.0000,0.2811,None
101,113.49,0.920,0.00096,0.479,0.0542,0.0000,0.4997,None
111,142.50,0.980,0.00063,0.725,0.0499,0.0000,0.0000,None
121,136.50,0.905,0.00070,0.663,0.0462,0.0000,0.0386,None
131,56.28,0.963,0.00050,0.881,0.0415,0.0000,0.0174,None
141,73.05,0.980,0.00064,0.751,0.0372,0.0000,0.0000,None
151,17.92,0.377,0.00097,0.641,0.0325,0.0000,0.5030,None
161,27.54,0.618,0.00081,0.828,0.0284,0.0000,0.3621,None
171,76.64,0.917,0.00083,0.825,0.0239,0.0000,0.0562,None
181,80.21,0.980,0.00161,0.571,0.0199,0.0000,0.0569,None
191,99.39,0.980,0.00153,0.739,0.0172,0.0000,0.0000,None
201,95.80,0.980,0.00149,0.811,0.0161,0.0000,0.0048,None
211,126.91,0.899,0.00156,0.656,0.0152,0.0000,0.0184,None
221,117.36,0.923,0.00128,1.240,0.0163,0.0000,0.0572,None
231,34.63,0.667,0.00074,1.307,0.0176,0.0000,0.0941,None
241,255.06,0.980,0.00049,2.898,0.0194,0.0000,0.0382,None
251,68.26,0.980,0.00083,2.075,0.0224,0.0000,0.0000,None
261,149.67,0.980,0.00079,2.322,0.0260,0.0000,0.0473,None
271,144.90,0.980,0.00063,2.878,0.0305,0.0000,0.0000,None
281,117.36,0.980,0.00056,3.834,0.0347,0.0000,0.0000,None
291,110.17,0.958,0.00060,5.185,0.0400,0.0000,0.0138,None
301,123.34,0.980,0.00092,3.347,0.0442,0.0000,0.0000,None
311,598.77,0.980,0.00115,2.399,0.0485,0.0000,0.0000,None
321,29.83,0.641,0.00106,3.137,0.0517,0.0000,0.0837,None
331,18.90,0.300,0.00068,4.492,0.0545,0.0000,0.0000,None
341,24.88,0.300,0.00083,3.554,0.0568,0.0000,0.0000,None
351,16.50,0.300,0.00096,2.800,0.0581,0.0000,0.0000,None
361,16.50,0.300,0.00122,2.673,0.0572,0.0000,0.0000,None
371,17.70,0.300,0.00105,2.770,0.0561,0.0000,0.0000,None
381,23.69,0.300,0.00086,4.059,0.0538,0.0000,0.0000,None
391,26.08,0.300,0.00119,2.291,0.0518,0.0000,0.0000,None
401,21.29,0.300,0.00093,4.346,0.0466,0.0000,0.0000,None
411,21.29,0.300,0.00138,2.276,0.0425,0.0000,0.0000,None
421,20.09,0.300,0.00078,5.252,0.0386,0.0000,0.0000,None
431,20.09,0.300,0.00108,3.761,0.0334,0.0000,0.0000,None
441,14.11,0.300,0.00114,3.620,0.0294,0.0000,0.0000,None
451,21.29,0.300,0.00049,7.061,0.0247,0.0000,0.0000,None
461,22.49,0.300,0.00120,2.455,0.0209,0.0000,0.0000,None
471,20.09,0.300,0.00086,4.061,0.0188,0.0000,0.0000,None
481,20.09,0.300,0.00101,3.396,0.0167,0.0000,0.0000,None
491,17.70,0.300,0.00088,4.078,0.0160,0.0000,0.0000,None
1,30.77,0.495,0.00188,0.933,0.0270,0.0000,0.0946,neutral
11,14.02,0.300,0.00092,0.915,0.0317,0.0000,0.0035,neutral
21,16.80,0.300,0.00090,0.928,0.0324,0.0000,0.0000,None
31,14.00,0.300,0.00091,0.915,0.0583,0.0000,0.0000,None
41,11.20,0.300,0.00089,0.950,0.0381,0.0000,0.0000,None
51,9.33,0.300,0.00095,0.874,0.0466,0.0000,0.0000,None
61,16.80,0.300,0.00092,0.879,0.0476,0.0000,0.0000,None
71,8.96,0.300,0.00201,0.414,0.0591,0.0000,0.0000,None
81,13.81,0.300,0.00196,0.374,0.0578,0.0000,0.0000,None
91,38.32,0.777,0.00203,0.328,0.0554,0.0000,0.1970,None
101,112.56,0.966,0.00163,0.608,0.0532,0.0000,0.0146,None
111,128.11,0.980,0.00154,0.665,0.0503,0.0000,0.0728,None
121,124.54,0.979,0.00146,0.607,0.0461,0.0000,0.0009,None
131,77.84,0.954,0.00146,0.650,0.0418,0.0000,0.0257,None
141,14.05,0.466,0.00128,1.530,0.0384,0.0000,0.1664,None
